GEO_ID|B25077_E001|B25077_M001
04000G0US51|191900|2874
04000G0US53|326600|6475
04000G0US54|116500|1789
04000G0US55|198400|1783
04000G0US56|254700|6453
04000G0US72|91800|2643
04000H0US01|139000|2538
04000H0US02|300600|5901
04000H0US04|177100|5637
04000H0US05|124700|1504
04000H0US06|399500|4110
04000H0US08|378300|5274
04000H0US09|293200|4940
04000H0US10|353300|7520
04000H0US12|176400|3243
04000H0US13|165800|2053
04000H0US15|565900|10718
04000H0US16|305700|5351
04000H0US17|122700|772
04000H0US18|159400|1347
04000H0US19|153000|1308
04000H0US20|128500|1753
04000H0US21|136500|1579
04000H0US22|127900|3074
04000H0US23|207000|2350
04000H0US24|260700|5216
04000H0US25|379200|7898
04000H0US26|167700|827
04000H0US27|216200|1199
04000H0US28|123000|1413
04000H0US29|158000|1562
04000H0US30|293000|4570
04000H0US31|168700|2130
04000H0US32|303800|7342
04000H0US33|296300|3385
04000H0US35|167600|3095
04000H0US36|156500|1230
04000H0US37|185000|1677
04000H0US38|187700|3637
04000H0US39|165800|1121
04000H0US40|143000|1676
04000H0US41|302800|5138
04000H0US42|168800|1022
04000H0US45|136100|3893
04000H0US46|191600|2796
04000H0US47|184400|1861
04000H0US48|163700|1405
04000H0US49|346300|4955
04000H0US50|255700|2940
04000H0US51|181200|2436
04000H0US53|364700|3609
04000H0US54|125300|2382
04000H0US55|206200|1436
04000H0US56|280400|3888
04000H0US72|98300|1400
040C201US01|216700|1581
040C201US02|350400|3940
040C201US04|368000|1139
040C201US05|195600|2101
040C201US06|706700|1098
040C201US08|500200|1872
040C201US09|331400|2093
040C201US10|324600|3341
040C201US11|724600|9892
040C201US12|331800|944
040C201US13|298500|1447
040C201US15|842000|6402
040C201US16|383600|3359
040C201US17|266700|890
040C201US18|200700|1154
040C201US19|197600|1246
040C201US20|218300|1572
040C201US21|217300|1374
040C201US22|223200|1385
040C201US23|310700|5914
040C201US24|392100|1416
040C201US25|536600|2319
040C201US26|217300|885
040C201US27|321000|1103
040C201US28|184400|1853
040C201US29|224200|1018
040C201US30|318700|4524
040C201US31|232000|1474
040C201US32|409900|2318
040C201US33|373400|3645
040C201US34|429400|1373
040C201US35|240200|1740
040C201US36|481200|1730
040C201US37|294900|1306
040C201US38|262500|3751
040C201US39|196700|608
040C201US40|191100|1379
040C201US41|455100|1713
040C201US42|246600|731
040C201US44|359200|2775
040C201US45|265300|1719
040C201US46|248300|2725
040C201US47|280800|1593
040C201US48|268500|757
040C201US49|459300|1662
040C201US50|300900|6419
040C201US51|399700|1707
040C201US53|535600|2549
040C201US54|165100|2107
040C201US55|242600|1236
040C201US56|267300|3648
040C201US72|127600|736
040C243US01|171600|1741
040C243US02|295400|5100
040C243US04|257700|5591
040C243US05|154800|1749
040C243US06|526700|5123
040C243US08|515100|7305
040C243US09|388800|3872
040C243US10|336600|7927
040C243US12|253200|3242
040C243US13|215000|1712
040C243US15|558700|16555
040C243US16|353500|5811
040C243US17|173100|1242
040C243US18|203200|1503
040C243US19|193000|1524
040C243US20|171500|2219
040C243US21|158600|1405
040C243US22|170400|2378
040C243US23|247200|2505
040C243US24|429600|4151
040C243US25|462000|3866
040C243US26|218100|1038
040C243US27|270600|1070
040C243US28|141500|2403
040C243US29|196400|1685
040C243US30|366800|6046
040C243US31|197200|2420
040C243US32|344900|9091
040C243US33|359700|3375
040C243US34|406100|5286
040C243US35|195900|3255
040C243US36|213500|1332
